,Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
95,Sri Lanka,2019,6235,12207,29314,18517,18131,5036,1334.0,3369,325.3,91.29,74.45,425.3,482.5,600.4,2200.0,422.6,728.1,105.4,401.7
96,Belize,2019,7091,9339,33865,14370,11912,5636,2230.0,4334,478.9,147.3,118.3,1330.0,1344,1054,3050.0,805.7,1609.0,170.2,1115.0
97,Eswatini,2019,8779,9155,8179,7934,9153,8496,6843.0,8170,1060.0,380.1,875.1,3511.0,4703,3766,7980.0,1679.0,5858.0,1099,2380.0
98,Vanuatu,2019,11132,12618,11300,11796,13056,9462,4285.0,7430,605.1,240.2,289.7,1687.0,2267,2171,5710.0,1064.0,3149.0,423.8,1315.0
99,United Arab Emirates,2019,8466,12305,29001,17519,16180,5828,1314.0,3536,227.1,98.41,91.74,422.4,543.2,679.2,2139.0,351.1,814.1,107,378.6
100,Slovakia,2019,6779,9118,36329,19370,12958,5373,1380.0,3634,160.1,66.33,58.77,302.4,508.9,459.9,2206.0,221.6,713.2,107.4,254.8
101,Costa Rica,2019,4432,6703,51926,14232,9697,3736,1137.0,2176,283.6,97.38,71.29,547.3,683.6,759.8,1473.0,526.2,860.7,107.8,551.4
102,Mexico,2019,7351,9480,34911,16314,12628,5051,1737.0,3652,348.1,142.0,107.8,763.7,974.3,1228,2551.0,556.0,1331.0,197.1,676.1
103,Bhutan,2019,8612,12448,24379,17790,16060,5866,1606.0,3804,300.0,447.0,234.6,556.0,739.3,2285,2498.0,382.6,1072.0,469.5,452.2
104,Suriname,2019,8619,12311,21004,16768,14303,7402,2384.0,6538,386.5,164.8,123.6,1209.0,1072,1620,3102.0,402.7,1485.0,192.3,912.6
105,Iceland,2019,4062,6884,51404,18063,11168,2614,642.9,1916,144.9,40.39,31.91,401.5,443.2,167.1,1076.0,167.4,458.8,68.34,245.1
106,Colombia,2019,4832,7706,46050,15679,12355,3399,997.2,2297,432.1,136.9,108.1,633.6,656.3,1130,1431.0,605.1,778.6,188.3,584.0
107,Cyprus,2019,4039,6756,54911,17275,9843,2647,588.3,1556,73.95,40.03,47.8,174.6,233.3,184.6,952.6,133.0,391.2,45.16,108.3
108,Bahamas,2019,7743,9619,30713,14413,12172,5794,2599.0,4353,473.8,138.7,108.7,1400.0,1755,989.7,3427.0,872.2,2111.0,175.8,1141.0
109,Morocco,2019,9674,13138,23006,16473,15793,6892,1787.0,4544,306.2,95.55,156.3,487.5,689.6,1917,2880.0,374.5,1085.0,304,396.1
110,El Salvador,2019,6511,9271,38072,14542,9962,4748,2021.0,3642,650.4,207.7,109.8,1252.0,1675,1135,2666.0,779.2,1757.0,188.1,810.7
111,Saudi Arabia,2019,8494,11129,28235,15686,13928,6493,2269.0,4701,270.5,89.81,82.81,822.1,1090,582.6,3326.0,505.9,1559.0,97.11,640.3
112,Nigeria,2019,8415,11341,17592,12919,13103,6348,2562.0,4495,426.3,688.6,1196.0,1091.0,1508,7392,3395.0,573.6,1982.0,4185,789.1
113,Malawi,2019,9699,11915,15556,12341,12914,7893,3819.0,6150,620.5,435.0,727.3,1526.0,2118,3175,5056.0,896.2,2956.0,1092,1112.0
114,Czechia,2019,6888,9653,40279,17072,13004,4827,1093.0,2881,155.7,46.4,39.27,311.0,444.2,239.9,1842.0,245.7,659.9,65.14,254.4
115,Egypt,2019,11959,12452,20894,14792,14672,8393,1751.0,5671,369.8,203.0,218.3,559.1,748.9,1781,3339.0,396.0,1095.0,282.7,424.5
116,Guatemala,2019,8736,8993,29924,13875,11961,5892,2310.0,5043,676.4,200.7,157.4,1111.0,1420,2047,3453.0,965.0,1762.0,377.1,1095.0
117,Peru,2019,5136,7466,48580,14439,11016,3473,1161.0,2352,259.8,143.9,136.3,551.1,668,953.7,1641.0,385.1,865.1,298.2,476.3
118,Slovenia,2019,5835,7818,48962,15579,11038,3984,851.4,2445,114.0,40.06,30.89,291.6,402.7,171.7,1471.0,173.0,510.9,41.29,239.3
119,Ireland,2019,4586,7348,50873,17214,11099,2829,803.4,2010,64.8,32.14,28.54,268.8,310.7,297.8,1289.0,199.9,465.2,44.59,236.2
120,Netherlands,2019,5080,7545,50158,16809,11102,3387,747.7,2082,99.61,38.19,31.27,211.8,289.7,349.8,1250.0,129.0,466.4,58,165.0
121,Ecuador,2019,6077,7878,44251,16262,11138,3735,1144.0,2615,334.6,183.9,140.8,581.3,739.3,1193,1724.0,498.7,818.4,194.8,492.7
122,Guyana,2019,8124,16269,11192,18784,6523,9528,3147.0,6194,733.5,275.5,195.8,1398.0,2190,2533,5666.0,1405.0,3277.0,487.3,2079.0
123,Namibia,2019,9003,11210,14744,12045,12525,7514,4626.0,6370,773.1,495.5,571.2,1795.0,2655,3076,5665.0,936.1,3681.0,1122,1195.0
124,Denmark,2019,5567,7769,48490,16977,11230,3795,771.9,2371,82.32,30.08,28.03,202.1,294.5,306.5,1328.0,115.5,444.5,52.71,144.0
125,Azerbaijan,2019,11246,14290,15422,18268,17523,7523,1842.0,4835,276.3,141.6,157.2,535.1,763.1,1955,3007.0,400.7,1176.0,217.2,422.3
126,Guinea,2019,9702,11812,12724,11301,12121,8023,3368.0,5970,672.1,575.1,1128.0,1510.0,1969,6309,4615.0,931.5,2663.0,3437,1170.0
