,Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
498,Nigeria,2010,8722,11328,13902,11601,12441,6746,2954.0,4886,522.2,784.6,1407.0,1347.0,1836,8580,3795.0,696.3,2346.0,5134,973.7
499,Djibouti,2010,9154,11361,13826,11717,12335,7346,3839.0,5537,552.6,573.3,974.0,1881.0,2578,6888,4573.0,828.3,3252.0,1511,1275.0
500,Italy,2010,4799,7216,50131,17071,11409,3142,819.5,2026,138.6,52.02,40.29,242.9,321.4,332.3,1311.0,185.4,503.8,60.11,198.9
501,Guatemala,2010,7772,9655,25286,15185,11427,6473,2930.0,4659,764.6,228.4,207.9,1593.0,1809,2963,3783.0,1139.0,2198.0,608.2,1320.0
502,Romania,2010,8903,11523,24740,17023,14873,6666,2386.0,5159,240.3,128.9,120.0,489.9,809.5,955,3782.0,318.7,1358.0,183.6,342.5
503,Gambia,2010,9935,11882,12636,11535,12448,8132,3797.0,6158,584.4,548.0,793.5,1750.0,2370,4567,4880.0,897.3,3073.0,2772,1243.0
504,South Africa,2010,7299,7876,11535,9115,7891,6731,6072.0,6095,859.8,456.6,575.4,5774.0,6474,3170,5944.0,2018.0,6287.0,1866,3961.0
505,South Sudan,2010,9076,11602,14053,11707,12599,7103,3246.0,5223,584.0,717.3,1362.0,1603.0,2113,6640,4115.0,830.7,2634.0,3629,1163.0
506,Turkmenistan,2010,11998,12490,17178,11637,13295,8757,2831.0,5669,485.8,210.3,222.4,1176.0,1561,4145,4186.0,754.4,1884.0,604.5,915.6
507,Syrian Arab Republic,2010,8403,11761,25793,20167,14967,6361,1395.0,3692,314.5,184.9,224.3,419.2,564.3,1448,2500.0,337.8,829.6,274.2,363.8
508,Bulgaria,2010,8962,11802,23367,17969,15611,6795,2207.0,4990,245.9,144.0,112.4,497.1,756.3,950.9,3356.0,324.4,1344.0,176.9,389.2
509,Philippines,2010,9541,11804,20482,16142,14160,7262,2494.0,5112,392.1,223.4,235.6,950.6,1281,2514,3580.0,610.8,1730.0,722.7,763.1
510,Mauritania,2010,8716,11808,19495,14262,13716,6491,2097.0,4375,429.6,252.3,601.1,899.6,1132,6240,3111.0,618.7,1542.0,3460,752.3
511,Panama,2010,5545,8033,42730,15571,11838,4078,1221.0,2464,474.0,183.9,171.9,780.3,812.1,1687,1813.0,658.6,930.8,292,715.5
512,Finland,2010,5580,7870,44530,16855,11887,4155,1233.0,2929,168.9,40.08,51.96,398.6,498.1,226.5,1980.0,371.8,779.7,63.61,381.1
513,Iraq,2010,9448,11907,23084,14122,13665,7087,2468.0,4788,495.8,303.4,319.2,952.9,1161,2944,3513.0,810.1,1482.0,618.7,831.2
514,Israel,2010,5162,7695,48120,17410,11945,3198,797.1,2025,126.4,63.72,53.21,275.1,337.1,378.8,1360.0,204.6,533.1,80.65,234.6
515,Belgium,2010,5865,7985,43921,17367,11968,4240,1153.0,2823,145.3,56.72,42.71,337.8,477.4,365.4,1891.0,269.6,692.0,83.51,318.2
516,Saint Lucia,2010,6647,8606,37886,14168,11985,4731,2174.0,3819,358.5,144.1,167.4,972.9,999.2,1733,2393.0,657.4,1440.0,244.5,873.7
517,Malaysia,2010,9339,13506,26174,14874,15719,6216,1914.0,4370,326.2,145.4,120.2,636.7,885.7,701,2905.0,408.5,1188.0,110.8,460.4
518,Iceland,2010,4889,7855,48520,17547,12459,3065,763.3,1725,136.4,60.28,45.83,304.0,345.9,171.7,1114.0,199.1,509.4,80.78,208.0
519,Libya,2010,7643,9978,36098,14633,13134,5489,1637.0,3154,350.3,179.5,179.4,688.7,838.4,1369,2180.0,515.5,1133.0,236.9,562.1
520,Grenada,2010,9644,16177,17361,15611,18838,6185,2158.0,4244,365.3,179.3,188.9,759.5,1157,1182,2953.0,446.8,1753.0,221,576.6
521,Denmark,2010,6306,9607,39379,17721,13901,4411,1164.0,3147,117.0,33.39,30.35,237.6,380.1,340.5,2099.0,192.9,684.0,50.15,198.3
522,Georgia,2010,9172,12985,19726,16509,16088,7113,2636.0,5156,290.9,126.3,122.1,798.6,1221,1191,3785.0,494.0,1787.0,158.8,639.3
523,Luxembourg,2010,5501,7993,46128,17571,12086,3664,959.7,2470,121.5,30.14,27.13,227.5,360.6,244.8,1682.0,204.9,479.0,50.97,200.4
524,Viet Nam,2010,8894,12103,24184,16712,15100,6347,2075.0,4496,381.1,183.4,177.7,654.5,907.9,1788,3112.0,520.2,1353.0,465.1,545.6
525,Nicaragua,2010,8305,12202,25588,18603,16212,5580,1529.0,3647,303.9,242.5,185.2,471.8,645,2004,2409.0,361.1,955.6,366.9,389.4
526,Colombia,2010,5738,8814,40489,16299,12236,3813,1224.0,2467,519.3,151.0,124.8,853.5,848.8,1639,1841.0,815.0,981.4,259.4,886.5
527,Singapore,2010,5467,8319,47368,16847,12255,3444,827.3,2175,86.83,53.0,41.51,169.2,322.9,287.6,1461.0,164.2,495.2,63.97,152.6
528,Sudan,2010,9127,12275,18779,14309,14227,6767,2244.0,4601,459.7,328.6,706.6,963.6,1229,5107,3272.0,653.1,1655.0,2509,789.3
529,Republic of Korea,2010,5538,8435,45004,17466,12276,3219,1227.0,2324,146.6,57.29,61.27,354.0,496.4,329.4,1699.0,225.9,767.6,60.99,313.1
530,Sweden,2010,5106,7813,47614,17551,12320,3448,772.0,2092,134.8,44.65,31.41,249.5,280.8,257.3,1299.0,227.5,450.0,59.87,246.8
531,Portugal,2010,5261,8151,43164,18441,12332,3626,1362.0,2667,139.9,64.33,62.9,386.3,582.3,259.5,1970.0,252.3,939.5,68.88,270.1
532,Norway,2010,5414,7918,46233,17665,12359,3565,853.3,2246,155.6,50.11,47.74,287.4,333,253.6,1443.0,286.7,526.3,51.61,311.5
533,Montenegro,2010,8859,12602,23490,18672,16370,6709,1811.0,4772,161.6,64.39,71.91,476.8,675.3,561.6,3026.0,268.9,994.6,78.89,335.1
534,Bhutan,2010,8951,12664,22158,16460,15757,6299,1764.0,4072,332.8,461.7,457.1,668.8,867.1,3356,2701.0,447.2,1209.0,828.2,545.4
535,Bosnia and Herzegovina,2010,8702,12688,26184,19521,16759,5555,1410.0,3788,152.0,70.02,60.17,297.7,473.1,531.5,2430.0,223.6,810.5,96.34,247.8
536,Chile,2010,6702,9276,41081,15825,12732,4480,1356.0,2626,254.3,91.94,75.65,441.0,609.6,726.2,1911.0,374.2,902.3,128.4,408.6
537,Cyprus,2010,4799,7730,45692,19676,12740,3008,792.0,1920,142.2,65.01,81.28,320.8,346.5,287.7,1279.0,251.4,535.4,59.55,275.6
538,Yemen,2010,9796,12769,17879,14437,14478,7401,2373.0,5082,474.9,266.6,433.7,953.0,1221,4420,3602.0,678.4,1710.0,1232,792.8
539,Slovenia,2010,5921,8838,41415,17464,12900,4356,1228.0,3309,125.5,54.39,47.44,345.7,418.3,237.2,2087.0,224.0,772.8,58.84,198.3
540,Kyrgyzstan,2010,9687,12928,17136,14655,15225,7769,2718.0,5782,324.5,165.7,154.1,1319.0,1700,2587,4018.0,532.4,2141.0,354.4,805.1
541,Zimbabwe,2010,7621,7724,5111,5765,7205,7443,8035.0,7193,1211.0,658.1,750.3,5208.0,6851,5403,7447.0,1872.0,7759.0,3464,3280.0
542,Morocco,2010,9734,13063,22839,14508,16008,6493,1946.0,4335,339.7,124.0,219.2,764.8,978.5,2797,2960.0,497.9,1328.0,450.8,615.6
543,Malta,2010,5313,8280,43591,18987,13574,3521,772.5,2067,124.8,70.25,39.69,292.9,350.5,628.6,1325.0,191.0,519.1,89.89,264.0
544,Iran (Islamic Republic of),2010,6582,9960,33640,18406,14542,4433,1243.0,2985,487.8,265.9,268.6,619.9,667.8,1679,1945.0,549.5,863.1,284.5,578.9
545,Algeria,2010,6028,9244,35050,19526,13870,4314,1257.0,2692,283.0,192.9,223.7,496.4,663.7,2191,1876.0,384.0,890.3,394.5,421.8
546,Ireland,2010,5427,8299,42505,19769,13572,3312,964.6,2170,181.6,48.93,43.58,307.2,386,370.1,1462.0,245.8,613.3,64.59,258.8
547,Eswatini,2010,6252,5906,3404,4068,5244,6531,8579.0,7003,1360.0,362.3,978.1,7753.0,8643,5282,7755.0,3229.0,8677.0,3199,5773.0
548,Lesotho,2010,6763,6234,2995,3887,5263,7163,8826.0,7374,1373.0,391.7,561.8,6730.0,8245,7678,7992.0,2636.0,8669.0,2639,4581.0
549,Sao Tome and Principe,2005,10010,12680,15948,13734,13973,7759,2652.0,5460,510.3,491.1,662.9,1062.0,1363,4255,3926.0,754.7,1931.0,1947,881.0
550,Cambodia,2005,10027,12222,13416,12165,12968,8051,3417.0,5912,599.4,352.3,776.4,1792.0,2177,5329,4575.0,895.0,2814.0,1238,1274.0
551,Mexico,2005,7777,10035,34696,14671,12066,5544,1821.0,3957,352.4,159.1,134.8,716.0,906.6,1895,2578.0,494.0,1259.0,344.9,592.9
552,Solomon Islands,2005,11542,12431,8087,10076,12074,10235,5084.0,8484,701.8,256.0,316.5,1979.0,2663,2432,6660.0,1207.0,3751.0,488.8,1532.0
553,Republic of Moldova,2005,11851,14025,11270,12995,13856,10081,4018.0,7027,278.0,166.5,170.8,1086.0,1705,1700,5646.0,443.8,2757.0,303.5,620.6
554,Mauritius,2005,10089,12614,22320,14717,14587,7859,2512.0,5266,262.1,124.8,111.7,691.5,1123,1357,3622.0,393.7,1634.0,227.6,487.9
555,Sierra Leone,2005,8924,10426,7981,8436,10107,7565,3522.0,5877,754.5,919.0,2180.0,1734.0,2192,12484,4695.0,1046.0,2794.0,6978,1386.0
556,Mongolia,2005,12240,12229,7562,10119,12489,10476,4757.0,8492,451.3,224.9,252.0,1633.0,2230,3689,6950.0,766.7,3400.0,889.4,1149.0
557,Fiji,2005,12086,13447,11742,13202,13545,10122,3635.0,7422,530.6,309.4,304.9,869.6,1423,1933,5564.0,701.0,1977.0,377.3,809.1
558,Chad,2005,9106,10508,7913,8418,10132,7809,3956.0,6162,790.5,988.8,1908.0,1985.0,2577,9431,5036.0,1106.0,3251.0,7410,1514.0
559,Congo,2005,9362,10133,7837,8185,9823,8380,5865.0,7201,982.4,509.2,855.1,3045.0,4131,5786,6481.0,1301.0,5115.0,2964,2043.0
560,Indonesia,2005,10145,13004,17075,14614,14694,7712,2522.0,5360,469.8,286.0,467.8,953.2,1239,3616,3782.0,687.0,1773.0,817.3,784.4
561,Lithuania,2005,8339,10155,24253,14441,12128,7486,3470.0,6138,419.8,119.5,160.2,1282.0,1757,713.5,4840.0,727.5,2379.0,174,1017.0
562,Lesotho,2005,5047,4477,2095,2691,3710,5730,9054.0,6541,1339.0,430.1,607.5,9232.0,10181,7650,7604.0,3265.0,9771.0,3956,6619.0
563,Eritrea,2005,10830,11139,6691,7908,10203,9887,5688.0,8402,908.9,579.8,734.0,2468.0,3386,4342,6982.0,1348.0,4509.0,2186,1808.0
564,Slovenia,2005,7043,10203,35442,17278,14157,5091,1602.0,3389,180.9,65.33,60.41,420.1,511.2,364.8,2424.0,353.1,942.1,74.74,399.6
565,Dominican Republic,2005,6649,10237,32851,14200,10757,5576,2302.0,3555,355.9,190.2,221.9,1268.0,1527,3009,3116.0,676.2,1895.0,668,946.7
566,Micronesia (Federated States of),2005,11051,12174,8545,10237,11978,9681,4813.0,8063,648.7,346.6,480.7,1916.0,2540,3850,6365.0,1180.0,3595.0,1013,1523.0
567,Angola,2005,9257,10641,7963,8592,10243,8062,3794.0,6409,746.6,903.3,2043.0,1792.0,2265,10253,5139.0,1066.0,2980.0,6451,1401.0
568,Barbados,2005,7394,10261,31421,17151,14027,5591,1820.0,3491,365.1,146.2,86.42,730.3,926.1,1427,2605.0,506.5,1254.0,136,662.4
569,Zimbabwe,2005,5319,5185,3647,3829,4788,5589,8824.0,6099,1116.0,622.9,828.3,8800.0,10262,5421,7250.0,2562.0,9815.0,4021,6021.0
570,Saudi Arabia,2005,10263,12862,20356,14472,14652,7861,2618.0,5717,400.3,151.7,165.6,837.8,1127,1382,3936.0,585.8,1696.0,231.3,684.3
571,Democratic People's Republic of Korea,2005,10266,12655,19066,14673,14474,7853,2514.0,5533,460.9,275.9,354.7,799.4,1119,2506,3834.0,628.6,1670.0,654.2,662.6
572,Serbia,2005,10268,14342,17554,17349,17587,7484,2131.0,5175,211.4,84.46,87.57,523.9,704.4,769.9,3592.0,350.5,1295.0,114.6,377.0
573,Belarus,2005,10274,11898,16494,12951,13051,9520,3863.0,7031,338.1,114.5,131.4,1570.0,2033,638.9,5332.0,688.8,2774.0,219.6,1078.0
574,Türkiye,2005,7567,10287,37099,14815,13393,4973,1199.0,3124,179.8,222.8,380.7,300.1,436.1,2286,2122.0,228.3,723.0,420.2,244.7
575,Gabon,2005,9770,11021,10299,9857,11168,8405,4683.0,6894,649.1,775.0,769.1,2473.0,3155,4949,5708.0,1143.0,3855.0,2654,1773.0
576,Bahamas,2005,7526,10310,30133,13743,12212,6004,2596.0,4611,429.4,173.0,200.9,1443.0,1752,1263,3445.0,742.6,2156.0,200,1060.0
577,Grenada,2005,10322,16124,18336,15415,17655,6084,2304.0,3905,358.7,170.1,196.3,767.9,1330,1163,2806.0,463.7,1810.0,215,574.4
578,Equatorial Guinea,2005,8305,10339,12394,10476,11109,6715,3709.0,5200,604.9,785.2,1511.0,2257.0,2820,9440,4380.0,1044.0,3286.0,4000,1624.0
579,Guyana,2005,9830,12525,13433,9245,11429,10350,4057.0,7105,721.9,236.2,197.3,2201.0,2586,3476,5621.0,1281.0,3101.0,821.3,1783.0
580,Malta,2005,6401,10363,37254,19909,15100,3805,824.6,2312,152.8,81.53,46.84,272.3,335.6,571.8,1472.0,236.6,539.4,106.7,215.2
581,Haiti,2005,9283,10844,10385,9979,11126,7890,4661.0,6349,719.6,607.3,934.9,2535.0,3306,6591,5432.0,1115.0,4068.0,2430,1746.0
582,Niger,2005,8894,11067,10386,9960,11399,7171,3002.0,5321,609.2,1414.0,2215.0,1351.0,1773,8030,4091.0,788.6,2306.0,9170,1053.0
583,Nigeria,2005,8688,10931,11576,10392,11572,6933,3336.0,5192,571.4,813.9,1552.0,1659.0,2239,9614,4130.0,799.5,2760.0,6054,1186.0
584,Mali,2005,8791,11002,11363,10395,11495,7041,3163.0,5232,625.6,814.8,1650.0,1599.0,2059,9027,4114.0,866.1,2540.0,6996,1227.0
585,Pakistan,2005,10399,12136,10760,10927,12309,8596,3475.0,6483,853.2,369.2,495.3,1533.0,1918,7783,4915.0,1151.0,2623.0,1958,1316.0
586,Democratic Republic of the Congo,2005,9510,10818,8213,8728,10409,8225,4264.0,6585,816.6,922.6,1569.0,2019.0,2663,9557,5445.0,1110.0,3457.0,4186,1502.0
587,Myanmar,2005,10410,12254,11692,11176,12412,8670,3557.0,6536,699.6,460.2,978.6,1598.0,2004,5628,4952.0,1018.0,2729.0,1945,1281.0
588,Benin,2005,9276,11385,11273,10429,11753,7580,3526.0,5714,635.3,816.7,1638.0,1689.0,2245,7868,4594.0,903.4,2840.0,4568,1266.0
589,Togo,2005,9035,10498,9262,9001,10429,7819,4892.0,6394,790.5,650.8,1283.0,2834.0,3695,6594,5573.0,1263.0,4337.0,3664,1985.0
590,Brunei Darussalam,2005,10432,16411,22422,16129,16885,5540,1577.0,3688,247.8,147.5,157.6,556.8,739.9,846.7,2206.0,399.7,1064.0,202.5,346.3
591,Egypt,2005,10436,12413,20200,14118,13576,8384,2411.0,5784,343.8,224.7,252.1,516.8,805.2,2973,4709.0,386.6,1399.0,637.4,431.0
592,Papua New Guinea,2005,10437,12121,11788,11153,12386,8745,3832.0,6691,656.1,418.6,634.3,1745.0,2255,5073,5187.0,1024.0,3005.0,1522,1326.0
593,Iraq,2005,10439,12322,17848,12902,13374,8239,2980.0,5703,508.5,825.8,738.6,1059.0,1365,3236,4274.0,789.7,1786.0,738.9,871.5
594,Samoa,2005,10439,12600,17360,13538,13880,8406,3245.0,6356,507.9,194.0,216.6,1188.0,1582,1578,4590.0,815.3,2255.0,281.1,967.0
595,Belize,2005,7754,10440,29289,14099,12834,6437,2386.0,3667,528.8,211.0,196.7,1283.0,1345,1788,3340.0,969.2,1958.0,288.9,1187.0
596,Saint Lucia,2005,7000,10448,31466,16219,12994,5767,1892.0,4135,360.8,154.3,177.0,815.9,1140,1740,2620.0,543.8,1437.0,259.2,831.8
597,Ghana,2005,9694,11500,10872,10450,11692,8126,4213.0,6387,714.9,584.6,909.6,2173.0,2827,5615,5265.0,1079.0,3532.0,2802,1564.0
598,Lao People's Democratic Republic,2005,10454,12443,11706,11360,12643,8555,3267.0,6320,670.7,713.1,978.7,1298.0,1678,6401,4762.0,934.0,2396.0,2338,1083.0
599,Uruguay,2005,7939,10458,32227,15930,13920,5712,1751.0,4129,328.1,105.9,73.42,557.1,663.8,1169,2854.0,413.7,1115.0,232.8,422.3
600,Kiribati,2005,10697,10519,4235,6518,9094,10506,6214.0,9408,962.3,412.8,629.7,2397.0,3285,7587,7792.0,1555.0,4639.0,1649,1902.0
601,Liberia,2005,9019,11023,11457,10511,11431,7383,3545.0,5582,636.6,856.2,1236.0,1886.0,2421,9296,4524.0,975.3,2965.0,3833,1418.0
602,Madagascar,2005,10527,12260,10590,10869,12378,8719,3537.0,6620,683.3,825.5,1302.0,1456.0,1889,5646,5034.0,994.3,2638.0,2840,1193.0
603,Brazil,2005,7663,10586,29999,15687,13277,5550,2106.0,3956,523.2,166.6,137.3,881.4,1100,2258,2877.0,714.4,1461.0,274.5,782.0
604,Cuba,2005,7235,10618,34869,16349,14021,5155,1626.0,3735,239.2,130.3,98.19,453.9,662.9,613.4,2360.0,335.2,921.4,158.1,420.1
605,Rwanda,2005,8908,10624,9842,9543,10702,7499,4499.0,6027,712.4,1219.0,1778.0,2422.0,3189,7056,5233.0,1064.0,3892.0,4123,1668.0
606,Ethiopia,2005,9185,10727,9268,9357,10638,7833,4593.0,6250,779.5,947.3,1767.0,2394.0,3216,7033,5396.0,1082.0,3987.0,3855,1692.0
607,Kazakhstan,2005,10639,11853,13255,10834,12477,9161,4220.0,7152,526.8,223.7,222.8,2134.0,2488,2680,5719.0,1111.0,3245.0,378.8,1680.0
608,Denmark,2005,7133,10667,35989,17513,14480,4731,1387.0,3131,177.2,41.56,38.02,288.4,433,440.3,2255.0,192.0,745.6,74.75,283.4
609,Somalia,2005,9696,9785,4983,6276,8507,9193,4831.0,7920,937.7,918.8,2095.0,1962.0,2616,10677,6453.0,1307.0,3624.0,6641,1577.0
610,United Republic of Tanzania,2005,7762,9360,10712,8898,9823,6659,5713.0,5739,754.5,403.0,1001.0,3902.0,5006,5859,5635.0,1232.0,5531.0,3553,2456.0
611,Russian Federation,2005,9714,11251,13548,10768,11961,8905,5018.0,7626,575.6,201.6,190.9,2428.0,2973,1143,6446.0,1189.0,3928.0,194.9,1939.0
612,Estonia,2005,8472,10770,26529,14827,13216,6886,2875.0,5508,315.9,116.8,113.2,792.1,1204,513.7,4364.0,629.4,1966.0,155.3,748.3
613,Poland,2005,8251,10777,29424,16291,13737,6296,2362.0,4754,233.2,84.43,79.15,527.7,862,644.7,3443.0,343.0,1397.0,107.7,386.3
614,Burkina Faso,2005,8932,10786,9528,9365,10867,7444,3968.0,5822,818.7,748.8,1701.0,1744.0,2457,8278,4831.0,945.9,3183.0,7326,1254.0
615,Iran (Islamic Republic of),2005,7560,10796,29000,17582,15496,5252,1436.0,3493,546.7,258.5,268.2,636.5,742.8,2082,2277.0,578.4,990.5,412.8,590.2
616,Saint Vincent and the Grenadines,2005,7124,10806,22713,18385,14491,6899,2551.0,4540,350.7,212.4,186.0,1287.0,1644,1952,3451.0,611.2,1708.0,264.7,823.7
617,Argentina,2005,8049,10808,30926,16566,13839,5917,1761.0,4001,341.9,141.5,126.2,546.3,720.1,1281,2771.0,454.3,1074.0,214.2,462.8
618,Central African Republic,2005,7634,6872,2481,3552,5407,8158,7823.0,8163,1367.0,570.6,1164.0,4394.0,5845,10815,8146.0,1895.0,7203.0,5610,2900.0
619,South Sudan,2005,8881,11183,12335,10819,11925,7058,3169.0,5231,553.2,827.3,1731.0,1593.0,2071,8916,4096.0,805.8,2572.0,5067,1167.0
620,Afghanistan,2005,10832,11588,7403,8618,10862,9648,4409.0,7818,848.3,327.3,515.5,1794.0,2355,7774,6081.0,1270.0,3269.0,3066,1522.0
621,Vanuatu,2005,11444,12664,9628,10891,12634,9859,4532.0,7881,684.1,254.4,313.8,1775.0,2376,2635,6041.0,1142.0,3333.0,493.4,1419.0
622,Gambia,2005,9802,11630,11641,10895,11966,8108,3800.0,6176,617.8,626.1,996.5,1874.0,2433,5305,4897.0,978.2,3101.0,3791,1363.0
623,Honduras,2005,8286,10924,26097,13883,13485,6258,2489.0,4589,463.4,235.4,281.4,1218.0,1529,2517,3332.0,897.7,1984.0,480.6,1052.0
624,Antigua and Barbuda,2005,7454,10933,32026,16174,15007,5291,1431.0,3942,391.1,140.1,114.3,572.8,788.8,1109,2516.0,521.9,977.1,196.6,414.2
625,Bhutan,2005,9073,12560,20701,15357,15053,6515,1940.0,4305,374.7,397.2,683.9,780.9,1001,4503,2935.0,520.9,1363.0,1290,645.6
626,Venezuela (Bolivarian Republic of),2005,6676,9422,34378,15239,13685,4654,1733.0,3522,649.8,208.9,173.9,936.1,972.3,1572,2607.0,1035.0,1259.0,264.5,1014.0
627,Uzbekistan,2005,12798,15321,12166,11001,14987,9529,2569.0,6570,293.2,184.7,198.5,1017.0,1305,4149,4155.0,504.8,1744.0,697.7,811.1
628,Nicaragua,2005,8573,12453,24054,18275,16217,5809,1590.0,3793,313.1,256.0,229.8,498.0,685.7,2466,2488.0,368.8,1020.0,500.2,408.8
629,Mauritania,2005,8989,11841,17057,13439,13316,6853,2332.0,4734,500.2,286.1,701.4,1023.0,1280,6804,3428.0,719.1,1737.0,4093,868.9
630,Albania,2005,7699,11854,27462,19103,14765,5621,1241.0,3313,346.2,153.2,175.4,865.7,922.9,1803,2067.0,539.7,1029.0,211.6,828.3
631,Morocco,2005,9731,12983,22309,14134,15630,6721,1977.0,4385,376.2,157.4,276.7,822.0,1030,3268,2997.0,551.4,1400.0,584.2,667.4
632,Peru,2005,5836,8109,42472,15035,11432,3950,1436.0,2729,327.8,216.4,249.4,669.6,804.5,2080,1955.0,470.3,1032.0,611.2,583.9
633,Tajikistan,2005,12264,15525,12693,13954,15404,8091,2106.0,5623,305.5,138.3,136.5,859.3,1036,5067,3400.0,436.2,1438.0,915.4,608.3
634,Yemen,2005,9923,12708,15902,13559,14029,7694,2596.0,5379,518.2,326.4,547.6,1039.0,1326,5313,3871.0,729.5,1866.0,1808,865.0
635,Belgium,2005,5972,9051,40279,17889,13099,4310,1308.0,3014,181.9,63.52,64.98,365.0,485.9,375.3,2040.0,275.9,810.7,104,311.0
636,Cyprus,2005,6006,9218,39333,19580,14516,3641,861.9,2340,252.0,79.84,104.4,401.4,426,437.9,1423.0,360.1,579.6,74.23,366.1
637,Israel,2005,5725,9003,42857,17549,13257,3861,1041.0,2302,168.6,76.72,53.96,312.9,414.2,439.3,1587.0,299.3,661.9,125.7,266.2
638,Greece,2005,5465,8579,40405,18924,14443,3718,1042.0,2630,206.5,79.06,80.26,345.6,479,378,1763.0,358.1,659.9,77.39,367.5
639,Guinea,2005,9444,11259,9695,9740,11224,7872,3611.0,6025,736.1,766.7,1584.0,1831.0,2303,8549,4813.0,1045.0,2901.0,5171,1429.0
640,New Zealand,2005,5568,8281,44433,17283,12244,3730,1047.0,2428,333.5,76.03,78.2,385.4,511,506.7,1545.0,369.7,731.6,108.9,338.2
641,Slovakia,2005,9044,12235,23986,17657,15462,6774,2282.0,4867,203.8,55.45,105.3,464.6,771.9,723.1,3377.0,288.9,1242.0,140.4,320.3
642,Malawi,2005,6619,7100,5540,5351,6609,6440,7706.0,6328,1056.0,593.7,1194.0,6022.0,7527,6728,6924.0,1924.0,7952.0,4496,3891.0
643,Libya,2005,7754,9953,37667,12554,13482,5367,1618.0,3221,290.6,200.3,214.3,583.7,793.9,2007,2169.0,351.2,1057.0,329.5,388.4
644,Senegal,2005,9406,11959,14424,12200,12870,7382,2941.0,5306,559.3,832.7,1450.0,1366.0,1764,5442,4049.0,798.2,2307.0,3887,1057.0
645,Sudan,2005,9311,12274,16904,13508,13827,7020,2408.0,4860,515.8,379.1,888.6,1057.0,1337,5774,3501.0,733.0,1783.0,3044,877.0
646,Netherlands,2005,6123,9626,39933,18331,14038,4096,1068.0,2574,126.5,63.88,46.11,267.8,391.5,485.2,1720.0,182.4,637.7,96.48,192.3
647,Canada,2005,5806,8711,44852,16121,12328,3894,1076.0,2528,225.3,73.19,53.03,348.0,453.7,536.9,1636.0,299.0,687.9,82.33,289.1
648,Ireland,2005,6479,9907,37622,19153,14287,4211,1077.0,2507,265.4,69.01,46.16,381.1,431.2,385.1,1716.0,384.8,671.5,87.85,317.8
649,Bulgaria,2005,9635,12860,20004,17065,16194,7216,2466.0,5341,214.8,151.5,143.1,542.6,875.2,1079,3746.0,360.9,1463.0,219.8,424.7
650,India,2005,9736,12716,14655,14336,14944,7145,2467.0,4775,706.3,446.0,645.2,1272.0,1507,5602,3330.0,923.9,1848.0,1861,1086.0
651,Colombia,2005,6590,9609,37036,15635,13057,4229,1424.0,2755,546.0,168.0,141.1,911.0,961.2,1773,1939.0,909.1,1088.0,315.4,915.6
652,Malaysia,2005,9812,13763,23222,17397,15166,6588,1850.0,4353,343.1,159.2,134.7,664.6,846.6,697.1,2766.0,438.1,1190.0,109.8,498.7
653,Portugal,2005,6147,9211,36748,19095,14306,3951,1532.0,2894,247.7,74.81,89.07,572.6,772.3,353.4,2126.0,333.1,1095.0,86.76,366.4
654,Tunisia,2005,7643,11034,29723,19171,15275,4961,1302.0,3161,258.9,180.5,201.5,549.7,652,1876,1953.0,379.6,913.9,331.7,434.5
655,Djibouti,2005,9265,11330,12485,11037,11957,7561,3877.0,5791,583.7,637.1,1139.0,2153.0,2752,7105,4729.0,975.5,3350.0,1753,1520.0
656,Japan,2005,4768,7498,50815,15364,11044,3327,975.0,2263,132.9,48.3,55.15,292.6,421.1,271.5,1535.0,220.5,624.9,99.92,245.4
657,The former Yugoslav Republic of Macedonia,2005,11062,15568,13888,18451,18949,7048,1988.0,4980,205.2,95.17,89.81,382.1,603.1,1149,3772.0,266.3,976.3,155.7,370.9
658,Trinidad and Tobago,2005,9395,11064,23538,15045,13868,6635,2448.0,4965,522.8,177.5,145.7,1255.0,1342,2274,3142.0,808.2,1949.0,311.9,1113.0
659,France,2005,5261,7658,46675,15840,11076,3811,1491.0,2900,190.3,54.99,49.7,382.6,553.7,359.7,2156.0,290.3,881.8,78.43,290.3
660,Kyrgyzstan,2005,11094,13291,15779,11692,13412,9294,3063.0,6220,300.9,174.5,175.4,1383.0,1789,3532,4516.0,542.5,2314.0,544.8,882.6
661,Cabo Verde,2005,8005,11207,28850,14654,13315,4817,2307.0,4036,405.3,186.4,187.9,1232.0,1659,2218,2903.0,635.8,1968.0,471.8,942.0
662,Switzerland,2005,4951,7470,48435,17362,11389,3357,955.4,2193,169.4,56.09,53.31,264.2,396.2,422.5,1398.0,261.2,568.7,75.83,221.1
663,Czechia,2005,8174,11433,28754,18435,15475,5920,1726.0,4150,208.1,73.31,65.1,406.7,567.7,320.6,2679.0,305.5,909.6,84.27,313.3
664,Syrian Arab Republic,2005,8985,11596,25319,18244,15535,6301,1822.0,4126,299.4,181.4,233.9,464.9,600.2,1821,2546.0,315.4,903.8,291.4,413.4
665,Turkmenistan,2005,12079,13822,11617,9609,12470,9817,3607.0,7374,588.7,249.0,275.6,1775.0,2056,3985,4959.0,980.1,2648.0,823.7,1264.0
