Country,Group1,Group2,corr
Algeria,DeathsUnder5,AdultMortality,-0.14605528071482665
Algeria,DeathsUnder5,InfantDeaths,0.8426648406178135
Algeria,DeathsUnder5,DeathsUnder5,1.0
Algeria,DeathsUnder5,TotalExpenditure,0.46621833219420145
Algeria,DeathsUnder5,GDP,0.37766479127058433
Algeria,DeathsUnder5,Schooling,0.2572387087444473
Algeria,DeathsUnder5,BodyMassIndex,0.2598781764579506
Algeria,DeathsUnder5,Alcohol,0.14565079743278042
Algeria,DeathsUnder5,Hepatitis B,0.3241822645521725
Algeria,DeathsUnder5,Polio,0.20845847457543717
Algeria,DeathsUnder5,ICOR index,0.17654894934072446
Algeria,TotalExpenditure,Population,0.5742240023285577
Algeria,TotalExpenditure,LifeExpectancy,0.8297452845264702
Algeria,TotalExpenditure,AdultMortality,-0.47816545062143995
Algeria,TotalExpenditure,InfantDeaths,0.7072515922035059
Algeria,TotalExpenditure,DeathsUnder5,0.46621833219420145
Algeria,TotalExpenditure,TotalExpenditure,1.0
Algeria,TotalExpenditure,GDP,0.4790899924092446
Algeria,TotalExpenditure,Schooling,0.8894950203929205
Algeria,TotalExpenditure,BodyMassIndex,0.49856118667522964
Algeria,TotalExpenditure,Alcohol,0.24983084962972296
Algeria,TotalExpenditure,Hepatitis B,0.4950185692097335
Algeria,TotalExpenditure,Polio,0.6814839820756684
Algeria,TotalExpenditure,ICOR index,0.8639831672982247
Algeria,GDP,Population,0.37471832850895626
Algeria,GDP,LifeExpectancy,0.5760277492898918
Algeria,GDP,AdultMortality,-0.06592910548262404
Algeria,GDP,InfantDeaths,0.5111718530324926
Algeria,GDP,DeathsUnder5,0.37766479127058433
Algeria,GDP,TotalExpenditure,0.4790899924092446
Algeria,GDP,GDP,1.0
Algeria,GDP,Schooling,0.5927826174351933
Algeria,GDP,BodyMassIndex,0.06855092136208045
Algeria,GDP,Alcohol,0.2610691089729686
Algeria,GDP,Hepatitis B,-0.02373832599748306
Algeria,GDP,Polio,0.6487242013304825
Algeria,GDP,ICOR index,0.548394995288112
Algeria,Schooling,Population,0.6531906355544922
Algeria,Schooling,LifeExpectancy,0.9766962140186465
Algeria,Schooling,AdultMortality,-0.4812379976206599
Algeria,Schooling,InfantDeaths,0.6064182862909556
Algeria,Schooling,DeathsUnder5,0.2572387087444473
Algeria,Schooling,TotalExpenditure,0.8894950203929205
Algeria,Schooling,GDP,0.5927826174351933
Algeria,Schooling,Schooling,1.0
Algeria,Schooling,BodyMassIndex,0.4553443703190745
Algeria,Schooling,Alcohol,0.373074569236866
Algeria,Schooling,Hepatitis B,0.32963230660037174
Algeria,Schooling,Polio,0.8435523622433524
Algeria,Schooling,ICOR index,0.9929834798425564
Algeria,BodyMassIndex,Population,0.5436506651802818
Algeria,BodyMassIndex,LifeExpectancy,0.35004480355669476
Algeria,BodyMassIndex,AdultMortality,-0.31953621843813884
Algeria,BodyMassIndex,InfantDeaths,0.33533544826336037
Algeria,BodyMassIndex,DeathsUnder5,0.2598781764579506
Algeria,BodyMassIndex,TotalExpenditure,0.49856118667522964
Algeria,BodyMassIndex,GDP,0.06855092136208045
Algeria,BodyMassIndex,Schooling,0.4553443703190745
Algeria,BodyMassIndex,BodyMassIndex,1.0
